mouse,group,condition,laser,time_min,cum_lick_pct
102_1,bla,mock,OFF,0.0,0.27932960893854747
102_1,bla,mock,ON,3.0,8.938547486033519
102_1,bla,mock,OFF,6.0,30.726256983240223
102_1,bla,mock,ON,9.0,32.122905027932966
102_1,bla,mock,OFF,12.0,52.513966480446925
102_1,bla,mock,ON,15.0,52.513966480446925
102_1,bla,mock,OFF,18.0,63.687150837988824
102_1,bla,mock,ON,21.0,63.687150837988824
102_1,bla,mock,OFF,24.0,79.88826815642457
102_1,bla,mock,ON,27.0,79.88826815642457
102_1,bla,mock,OFF,30.0,79.88826815642457
102_1,bla,mock,ON,33.0,79.88826815642457
102_1,bla,mock,OFF,36.0,79.88826815642457
102_1,bla,mock,ON,39.0,79.88826815642457
102_1,bla,mock,OFF,42.0,99.72067039106145
102_1,bla,mock,ON,45.0,99.72067039106145
102_1,bla,mock,OFF,48.0,99.72067039106145
102_1,bla,mock,ON,51.0,99.72067039106145
102_1,bla,mock,OFF,54.0,99.72067039106145
102_1,bla,mock,ON,57.0,100.0
102_1,bla,stim,OFF,0.0,9.105431309904153
102_1,bla,stim,ON,3.0,46.00638977635783
102_1,bla,stim,OFF,6.0,48.56230031948881
102_1,bla,stim,ON,9.0,65.49520766773162
102_1,bla,stim,OFF,12.0,65.49520766773162
102_1,bla,stim,ON,15.0,65.49520766773162
102_1,bla,stim,OFF,18.0,70.28753993610223
102_1,bla,stim,ON,21.0,70.28753993610223
102_1,bla,stim,OFF,24.0,70.28753993610223
102_1,bla,stim,ON,27.0,70.28753993610223
102_1,bla,stim,OFF,30.0,70.28753993610223
102_1,bla,stim,ON,33.0,85.62300319488818
102_1,bla,stim,OFF,36.0,85.62300319488818
102_1,bla,stim,ON,39.0,96.1661341853035
102_1,bla,stim,OFF,42.0,96.1661341853035
102_1,bla,stim,ON,45.0,96.1661341853035
102_1,bla,stim,OFF,48.0,96.1661341853035
102_1,bla,stim,ON,51.0,96.1661341853035
102_1,bla,stim,OFF,54.0,99.84025559105432
102_1,bla,stim,ON,57.0,100.0
102_4,bla,mock,OFF,0.0,19.425837320574164
102_4,bla,mock,ON,3.0,30.43062200956938
102_4,bla,mock,OFF,6.0,38.27751196172249
102_4,bla,mock,ON,9.0,53.588516746411486
102_4,bla,mock,OFF,12.0,57.70334928229664
102_4,bla,mock,ON,15.0,60.28708133971292
102_4,bla,mock,OFF,18.0,61.14832535885167
102_4,bla,mock,ON,21.0,74.25837320574162
102_4,bla,mock,OFF,24.0,78.08612440191386
102_4,bla,mock,ON,27.0,81.3397129186603
102_4,bla,mock,OFF,30.0,86.50717703349282
102_4,bla,mock,ON,33.0,89.76076555023923
102_4,bla,mock,OFF,36.0,95.59808612440192
102_4,bla,mock,ON,39.0,95.59808612440192
102_4,bla,mock,OFF,42.0,97.22488038277513
102_4,bla,mock,ON,45.0,97.22488038277513
102_4,bla,mock,OFF,48.0,97.22488038277513
102_4,bla,mock,ON,51.0,97.32057416267943
102_4,bla,mock,OFF,54.0,97.32057416267943
102_4,bla,mock,ON,57.0,100.0
102_4,bla,stim,OFF,0.0,17.928730512249444
102_4,bla,stim,ON,3.0,37.193763919821826
102_4,bla,stim,OFF,6.0,61.915367483296215
102_4,bla,stim,ON,9.0,73.38530066815144
102_4,bla,stim,OFF,12.0,77.83964365256125
102_4,bla,stim,ON,15.0,78.17371937639199
102_4,bla,stim,OFF,18.0,85.85746102449889
102_4,bla,stim,ON,21.0,86.41425389755011
102_4,bla,stim,OFF,24.0,86.41425389755011
102_4,bla,stim,ON,27.0,98.55233853006682
102_4,bla,stim,OFF,30.0,100.0
102_4,bla,stim,ON,33.0,100.0
102_4,bla,stim,OFF,36.0,100.0
102_4,bla,stim,ON,39.0,100.0
102_4,bla,stim,OFF,42.0,100.0
102_4,bla,stim,ON,45.0,100.0
102_4,bla,stim,OFF,48.0,100.0
102_4,bla,stim,ON,51.0,100.0
102_4,bla,stim,OFF,54.0,100.0
102_4,bla,stim,ON,57.0,100.0
102_5,nac,mock,OFF,0.0,13.153961136023916
102_5,nac,mock,ON,3.0,30.343796711509718
102_5,nac,mock,OFF,6.0,40.20926756352765
102_5,nac,mock,ON,9.0,50.074738415545596
102_5,nac,mock,OFF,12.0,63.52765321375187
102_5,nac,mock,ON,15.0,65.6203288490284
102_5,nac,mock,OFF,18.0,67.86248131539611
102_5,nac,mock,ON,21.0,73.54260089686099
102_5,nac,mock,OFF,24.0,78.02690582959642
102_5,nac,mock,ON,27.0,82.51121076233184
102_5,nac,mock,OFF,30.0,89.98505231689087
102_5,nac,mock,ON,33.0,89.98505231689087
102_5,nac,mock,OFF,36.0,96.41255605381166
102_5,nac,mock,ON,39.0,97.90732436472346
102_5,nac,mock,OFF,42.0,97.90732436472346
102_5,nac,mock,ON,45.0,97.90732436472346
102_5,nac,mock,OFF,48.0,97.90732436472346
102_5,nac,mock,ON,51.0,98.20627802690582
102_5,nac,mock,OFF,54.0,100.0
102_5,nac,mock,ON,57.0,100.0
102_5,nac,stim,OFF,0.0,16.068376068376068
102_5,nac,stim,ON,3.0,32.47863247863248
102_5,nac,stim,OFF,6.0,45.47008547008547
102_5,nac,stim,ON,9.0,52.478632478632484
102_5,nac,stim,OFF,12.0,53.162393162393165
102_5,nac,stim,ON,15.0,65.64102564102564
102_5,nac,stim,OFF,18.0,68.71794871794872
102_5,nac,stim,ON,21.0,73.33333333333333
102_5,nac,stim,OFF,24.0,73.50427350427351
102_5,nac,stim,ON,27.0,73.50427350427351
102_5,nac,stim,OFF,30.0,83.41880341880342
102_5,nac,stim,ON,33.0,84.1025641025641
102_5,nac,stim,OFF,36.0,84.1025641025641
102_5,nac,stim,ON,39.0,89.91452991452992
102_5,nac,stim,OFF,42.0,96.06837606837607
102_5,nac,stim,ON,45.0,96.06837606837607
102_5,nac,stim,OFF,48.0,96.06837606837607
102_5,nac,stim,ON,51.0,96.23931623931624
102_5,nac,stim,OFF,54.0,96.23931623931624
102_5,nac,stim,ON,57.0,100.0
102_6,nac,mock,OFF,0.0,24.487594390507013
102_6,nac,mock,ON,3.0,30.528586839266453
102_6,nac,mock,OFF,6.0,32.5782092772384
102_6,nac,mock,ON,9.0,44.44444444444444
102_6,nac,mock,OFF,12.0,48.327939590075516
102_6,nac,mock,ON,15.0,53.72168284789643
102_6,nac,mock,OFF,18.0,65.69579288025889
102_6,nac,mock,ON,21.0,72.49190938511327
102_6,nac,mock,OFF,24.0,78.96440129449837
102_6,nac,mock,ON,27.0,78.96440129449837
102_6,nac,mock,OFF,30.0,78.96440129449837
102_6,nac,mock,ON,33.0,85.97626752966559
102_6,nac,mock,OFF,36.0,88.78101402373247
102_6,nac,mock,ON,39.0,89.96763754045307
102_6,nac,mock,OFF,42.0,90.83063646170443
102_6,nac,mock,ON,45.0,91.3700107874865
102_6,nac,mock,OFF,48.0,95.361380798274
102_6,nac,mock,ON,51.0,100.0
102_6,nac,mock,OFF,54.0,100.0
102_6,nac,mock,ON,57.0,100.0
102_6,nac,stim,OFF,0.0,13.85390428211587
102_6,nac,stim,ON,3.0,26.448362720403022
102_6,nac,stim,OFF,6.0,28.71536523929471
102_6,nac,stim,ON,9.0,29.59697732997481
102_6,nac,stim,OFF,12.0,42.9471032745592
102_6,nac,stim,ON,15.0,50.88161209068011
102_6,nac,stim,OFF,18.0,55.66750629722922
102_6,nac,stim,ON,21.0,62.21662468513854
102_6,nac,stim,OFF,24.0,62.21662468513854
102_6,nac,stim,ON,27.0,65.4911838790932
102_6,nac,stim,OFF,30.0,73.04785894206549
102_6,nac,stim,ON,33.0,75.31486146095719
102_6,nac,stim,OFF,36.0,75.31486146095719
102_6,nac,stim,ON,39.0,81.23425692695214
102_6,nac,stim,OFF,42.0,87.1536523929471
102_6,nac,stim,ON,45.0,87.1536523929471
102_6,nac,stim,OFF,48.0,87.1536523929471
102_6,nac,stim,ON,51.0,96.72544080604534
102_6,nac,stim,OFF,54.0,96.72544080604534
102_6,nac,stim,ON,57.0,100.0
103_3,control,mock,OFF,0.0,16.923076923076923
103_3,control,mock,ON,3.0,18.321678321678323
103_3,control,mock,OFF,6.0,31.258741258741257
103_3,control,mock,ON,9.0,37.34265734265734
103_3,control,mock,OFF,12.0,44.89510489510489
103_3,control,mock,ON,15.0,51.53846153846153
103_3,control,mock,OFF,18.0,54.68531468531469
103_3,control,mock,ON,21.0,57.48251748251748
103_3,control,mock,OFF,24.0,67.2027972027972
103_3,control,mock,ON,27.0,73.4965034965035
103_3,control,mock,OFF,30.0,75.03496503496504
103_3,control,mock,ON,33.0,77.06293706293707
103_3,control,mock,OFF,36.0,78.74125874125875
103_3,control,mock,ON,39.0,81.3986013986014
103_3,control,mock,OFF,42.0,85.45454545454545
103_3,control,mock,ON,45.0,89.5104895104895
103_3,control,mock,OFF,48.0,92.0979020979021
103_3,control,mock,ON,51.0,95.24475524475524
